point, boundary_case, charge_case, phi_green_V,sigma_total_V,phi_sor_V,abs_difference_V
centre,all_plus_100,zero_charge,100.000000,0.000000e+00,100.000000,4.564761e-08
centre,tb_plus100_lr_minus100,zero_charge,-0.179000,2.236064e-01,0.000000,1.790000e-01
centre,top_left_200_bottom_0_right_minus400,zero_charge,-3.275000,5.540301e-01,-3.271182,3.818123e-03
centre,all_plus_100,uniform_10C,99.263818,1.218585e-04,99.263990,1.721162e-04
centre,tb_plus100_lr_minus100,uniform_10C,-0.915182,2.236065e-01,-0.736010,1.791722e-01
centre,top_left_200_bottom_0_right_minus400,uniform_10C,-4.011182,5.540301e-01,-4.007192,3.990285e-03
centre,all_plus_100,gradient_top_to_bottom,99.962800,6.611243e-06,99.962819,1.856625e-05
centre,tb_plus100_lr_minus100,gradient_top_to_bottom,-0.216200,2.236064e-01,-0.037181,1.790186e-01
centre,top_left_200_bottom_0_right_minus400,gradient_top_to_bottom,-3.312200,5.540301e-01,-3.308363,3.836735e-03
centre,all_plus_100,exponential_centre,99.987356,2.969547e-06,99.987348,8.105976e-06
centre,tb_plus100_lr_minus100,exponential_centre,-0.191644,2.236064e-01,-0.012652,1.789919e-01
centre,top_left_200_bottom_0_right_minus400,exponential_centre,-3.287644,5.540301e-01,-3.283834,3.810062e-03
corner,all_plus_100,zero_charge,100.000000,3.015783e-09,100.000000,2.187633e-09
corner,tb_plus100_lr_minus100,zero_charge,-0.163000,2.236065e-01,0.000000,1.630000e-01
corner,top_left_200_bottom_0_right_minus400,zero_charge,100.009000,2.247042e-01,99.831642,1.773578e-01
corner,all_plus_100,uniform_10C,99.990964,1.137269e-05,99.991077,1.122687e-04
corner,tb_plus100_lr_minus100,uniform_10C,-0.172036,2.236065e-01,-0.008923,1.631123e-01
corner,top_left_200_bottom_0_right_minus400,uniform_10C,99.999964,2.247042e-01,99.822719,1.772455e-01
corner,all_plus_100,gradient_top_to_bottom,99.999862,3.486320e-07,99.999866,3.920570e-06
corner,tb_plus100_lr_minus100,gradient_top_to_bottom,-0.163138,2.236065e-01,-0.000134,1.630039e-01
corner,top_left_200_bottom_0_right_minus400,gradient_top_to_bottom,100.008862,2.247042e-01,99.831508,1.773539e-01
corner,all_plus_100,exponential_centre,99.999972,1.383238e-07,99.999973,1.581861e-06
corner,tb_plus100_lr_minus100,exponential_centre,-0.163028,2.236065e-01,-0.000027,1.630016e-01
corner,top_left_200_bottom_0_right_minus400,exponential_centre,100.008972,2.247042e-01,99.831616,1.773562e-01
face,all_plus_100,zero_charge,100.000000,0.000000e+00,100.000000,9.897306e-09
face,tb_plus100_lr_minus100,zero_charge,-93.637000,7.848924e-02,-93.450767,1.862334e-01
face,top_left_200_bottom_0_right_minus400,zero_charge,192.912000,1.219213e-01,192.775220,1.367796e-01
face,all_plus_100,uniform_10C,99.936237,3.570825e-05,99.935726,5.108517e-04
face,tb_plus100_lr_minus100,uniform_10C,-93.700763,7.848925e-02,-93.515040,1.857226e-01
face,top_left_200_bottom_0_right_minus400,uniform_10C,192.848237,1.219213e-01,192.710947,1.372904e-01
face,all_plus_100,gradient_top_to_bottom,99.996766,1.923599e-06,99.996744,2.143727e-05
face,tb_plus100_lr_minus100,gradient_top_to_bottom,-93.640234,7.848924e-02,-93.454022,1.862120e-01
face,top_left_200_bottom_0_right_minus400,gradient_top_to_bottom,192.908766,1.219213e-01,192.771965,1.368010e-01
face,all_plus_100,exponential_centre,99.999510,5.671004e-07,99.999507,3.404048e-06
face,tb_plus100_lr_minus100,exponential_centre,-93.637490,7.848924e-02,-93.451260,1.862300e-01
face,top_left_200_bottom_0_right_minus400,exponential_centre,192.911510,1.219213e-01,192.774727,1.367830e-01
